FID,OID_1,XDSegID,PreviousXD,NextXDSegI,FRC,RoadNumber,RoadName,LinearID,Country,State,County,District,Miles,Lanes,SlipRoad,SpecialRoa,RoadList,StartLat,StartLong,EndLat,EndLong,Bearing,XDGroup,ShapeSRID,XDSegIDnum,Corridor,Period,Order
64605, ,1310579121,135547224,1310324865,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.160444255,3,0, ,                I 66,38.89658,-77.06817,38.89428,-77.06782,                     S,263139,4326,1310579121,I-66-E,AM,25
23328, ,1310324865,1310579121, ,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.258403424,2.166,0, ,                I 66,38.89428,-77.06782,38.8917,-77.06467,                     S,263139,4326,1310324865,I-66-E,AM,26
65447, ,1310583894,1310465140,1310370645,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.090645629,3,0, ,                I 66,38.89556,-77.06779,38.89685,-77.06807,                     N,260459,4326,1310583894,I-66-E,AM,27
54673, ,1310518332,135356033,1310614051,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.095473684,4,0, ,                VA 267,38.93449,-77.2418,38.93432,-77.24004,                     E,273272,4326,1310518332,VA-267-S,AM,1
71190, ,1310614051,1310518332,1310518298,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.74038863,4,0, ,                VA 267,38.9344,-77.24072,38.93361,-77.22704,                     E,273272,4326,1310614051,VA-267-S,AM,2
54674, ,1310518345,1310518309, ,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.226694852,4,0, ,                VA 267,38.93428,-77.24491,38.9344,-77.24072,                     E,273272,4326,1310518345,VA-267-S,AM,3
54668, ,1310518286,1310518298,1310518422,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.207047095,6,0, ,                VA 267,38.93381,-77.22057,38.93321,-77.21681,                     E,273272,4326,1310518286,VA-267-S,AM,4
54671, ,1310518309,1310518322,1310518345,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.117209248,4,0, ,                VA 267,38.93379,-77.247,38.93428,-77.24491,                     E,273272,4326,1310518309,VA-267-S,AM,5
54672, ,1310518298,1310614051,1310518286,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.348154279,6,0, ,                VA 267,38.93361,-77.22704,38.93381,-77.22057,                     E,273272,4326,1310518298,VA-267-S,AM,6
54719, ,1310518573,1310518586,1310518322,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.633065398,4,0, ,                VA 267,38.93347,-77.26392,38.93228,-77.25257,                     E,273272,4326,1310518573,VA-267-S,AM,7
54691, ,1310518422,1310518286,1310518409,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.426366271,2.41,0, ,                VA 267,38.93321,-77.21681,38.93072,-77.20956,                     E,273272,4326,1310518422,VA-267-S,AM,8
54675, ,1310518322,1310518573,1310518309,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.434872842,4,0, ,                VA 267,38.93228,-77.25257,38.93428,-77.24491,                     E,273272,4326,1310518322,VA-267-S,AM,9
54689, ,1310518409,1310518422,1310518445,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.093180824,3,0, ,                VA 267,38.93072,-77.20956,38.93016,-77.20799,                     E,273272,4326,1310518409,VA-267-S,AM,10
54695, ,1310518445,1310518409,1310518432,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.195775421,2,0, ,                VA 267,38.93016,-77.20799,38.92895,-77.20469,                     E,273272,4326,1310518445,VA-267-S,AM,11
54690, ,1310518432,1310518445,1310518374,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.083680058,2,0, ,"                VA 267,SR 267",38.92895,-77.20469,38.92844,-77.20328,                     E,273272,4326,1310518432,VA-267-S,AM,12
54685, ,1310518374,1310518432,1310518362,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.182043118,2,0, ,                VA 267,38.92844,-77.20328,38.92729,-77.20024,                     E,273272,4326,1310518374,VA-267-S,AM,13
54687, ,1310518398,1310518362,1310518385,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax,           Pimmit Hills,0.631014873,2.877,0, ,"                VA 267,SR 267,VA 267",38.92701,-77.19981,38.91921,-77.19385,                     S,273272,4326,1310518398,VA-267-S,AM,14
54686, ,1310518385,1310518398,1310518127,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax,           Pimmit Hills,0.539126501,2.338,0, ,"                VA 267,SR 267",38.91921,-77.19385,38.91269,-77.1884,                     S,273272,4326,1310518385,VA-267-S,AM,15
54643, ,1310518127,1310518385,1310518114,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax,           Pimmit Hills,0.682389843,2,0, ,                VA 267,38.91269,-77.1884,38.90315,-77.18855,                     S,273272,4326,1310518127,VA-267-S,AM,16
