tripID,corridor,deviceID,providerID,providerType,providerDrivingProfile,vehicleWeightClass
c4d73e535ac515e53846f2b029a2212c,I-66-EB-TZ1-2-3_US-29-NB-TZ4,524b55cb6e19c1bfe1f07fd41b6fd4c4,82cec96096d4281b7c95cd7e74623496,1,1,1
ef85d7521e0034b16ae9cfe92640822e,I-66-EB-TZ1-2-3_US-29-NB-TZ4,ee7b181cc86131698ff3b78ed6aeee51,82cec96096d4281b7c95cd7e74623496,1,1,1
d466ceac22e2b318069837d519fc7382,I-66-EB-TZ1-2-3_US-29-NB-TZ4,5bd53b608517d0feacb804bcd1138f7c,54229abfcfa5649e7003b83dd4755294,2,3,2
d8ea2b10f1e92da9cc52d92cd298eb6d,I-66-EB-TZ1-2-3_US-29-NB-TZ4,1fea5c75961bb3a33ac9c433a1282261,3988c7f88ebcb58c6ce932b957b6f332,2,3,2
7cd19123a4568d371ffb36df3f3bd916,I-66-EB-TZ1-2-3_US-29-NB-TZ4,026480ff13ac78af0c698f0915ccfbb2,54229abfcfa5649e7003b83dd4755294,2,3,2
4b91e7c85821a0f0bcb36561f7141de7,I-66-EB-TZ1-2-3_US-29-NB-TZ4,38107dec4dc2fff5833da94bb3ff7f49,f4f6dce2f3a0f9dada0c2b5b66452017,1,1,1
999331e566acf5f0750f6ed172e28272,I-66-EB-TZ1-2-3_US-29-NB-TZ4,1da667dd358fc27131e7d4bc5e523c8c,45c48cce2e2d7fbdea1afc51c7c6ad26,2,4,3
3e8e9ef14df6fb06b99beecf7c8e5584,I-66-EB-TZ1-2-3_US-29-NB-TZ4,ff2aae99b7d776298cd5803dff5798ad,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
a5b09c901129dae6ea481c54ea7e8d52,I-66-EB-TZ1-2-3_US-29-NB-TZ4,eaff216ac8d1868a757f59b990ddf3d0,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
aaa66663487471a24e190c40dbf75ea8,I-66-EB-TZ1-2-3_US-29-NB-TZ4,70b33a5904d48777397e0a2a0f94717e,82cec96096d4281b7c95cd7e74623496,1,1,1
6e3044551b487dd3ee0accd6f5c5ce17,I-66-EB-TZ1-2-3_US-29-NB-TZ4,ab182cbe90c9f7d40cc1b0bc1e259a1b,54229abfcfa5649e7003b83dd4755294,2,3,2
c01b2cc080ee4aa67670c353adf19a1d,I-66-EB-TZ1-2-3_US-29-NB-TZ4,a26932fe58346c8a6b7279fb6ef0bc6a,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
3d5e28784d3e78735298713519c85d71,I-66-EB-TZ1-2-3_US-29-NB-TZ4,d66c30cdde684a8566ecc3eb97f95f6b,f4f6dce2f3a0f9dada0c2b5b66452017,1,1,1
86f0c4afd4063bdfb2c71fb4c6d6e39e,I-66-EB-TZ1-2-3_US-29-NB-TZ4,de11a49ca82fda998e8916dcbcc9c5a8,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
