origin,destination,weekday,time,path,zscore,pvalue
"Fairfax County, NOVA","Springfield, DC",5,16:30,US-50-EB,0.9796143331114561,0.32727652712775757
"Fairfax County, NOVA","Springfield, DC",4,17:00,US-50-EB,1.385387091154822,0.16593413606922836
"Fairfax County, NOVA","Springfield, DC",3,17:30,I-66-EB-TZ1-2-3_US-50-EB-TZ4,1.0208146288138915,0.3073422722149486
"Fairfax County, NOVA","Springfield, DC",4,17:30,I-66-WB,0.9796143331114561,0.32727652712775757
"Fairfax County, NOVA","Annandale, DC",1,05:00,I-66-EB,1.4342075548645346,0.15151304177142721
"Fairfax County, NOVA","Annandale, DC",1,05:00,US-50-EB,5.481324028151224,4.2215448692317636e-08
"Fairfax County, NOVA","Annandale, DC",2,05:00,I-66-EB,0.984283656575345,0.32497606300919535
"Fairfax County, NOVA","Annandale, DC",3,05:00,I-66-EB,0.604884562844459,0.5452557009657486
"Fairfax County, NOVA","Annandale, DC",4,05:00,I-66-EB,0.984283656575345,0.32497606300919535
"Fairfax County, NOVA","Annandale, DC",1,05:30,I-66-EB,0.9684540701382639,0.33281764680945347
"Fairfax County, NOVA","Annandale, DC",1,05:30,US-50-EB,6.181408440555513,6.353220172172769e-10
"Fairfax County, NOVA","Annandale, DC",2,05:30,I-66-EB,1.0159804440637878,0.3096386991599793
"Fairfax County, NOVA","Annandale, DC",3,05:30,I-66-EB,0.604884562844459,0.5452557009657486
"Fairfax County, NOVA","Annandale, DC",4,05:30,US-50-EB,0.02241315846126644,0.9821183840547787
"Fairfax County, NOVA","Annandale, DC",4,05:30,I-66-EB,0.984283656575345,0.32497606300919535
"Fairfax County, NOVA","Annandale, DC",5,05:30,I-66-EB,0.984283656575345,0.32497606300919535
"Fairfax County, NOVA","Annandale, DC",1,06:00,US-50-EB,1.0159804440637878,0.3096386991599793
"Fairfax County, NOVA","Annandale, DC",2,06:00,US-50-EB,1.7597525313846796,0.07844977469085967
"Fairfax County, NOVA","Annandale, DC",3,06:00,US-29-NB,2.2718601627381685,0.023094957698040375
"Fairfax County, NOVA","Annandale, DC",3,06:00,US-50-EB,1.0159804440637878,0.3096386991599793
"Fairfax County, NOVA","Annandale, DC",4,06:00,I-66-EB-TZ1-2-3_US-29-NB-TZ4,1.4368226240373625,0.15076840019879656
"Fairfax County, NOVA","Annandale, DC",4,06:00,I-66-EB,0.02241315846126644,0.9821183840547787
"Fairfax County, NOVA","Annandale, DC",4,06:00,US-50-EB,0.02241315846126644,0.9821183840547787
"Fairfax County, NOVA","Annandale, DC",5,06:00,I-66-EB,1.3919963071148296,0.16392351623010137
"Fairfax County, NOVA","Annandale, DC",1,06:30,US-29-NB,1.0159804440637878,0.3096386991599793
"Fairfax County, NOVA","Annandale, DC",1,06:30,US-50-EB,1.0159804440637878,0.3096386991599793
"Fairfax County, NOVA","Annandale, DC",1,06:30,I-66-EB,0.984283656575345,0.32497606300919535
"Fairfax County, NOVA","Annandale, DC",2,06:30,I-66-EB,1.0159804440637878,0.3096386991599793
"Fairfax County, NOVA","Annandale, DC",2,06:30,US-50-EB,0.984283656575345,0.32497606300919535
"Fairfax County, NOVA","Annandale, DC",3,06:30,US-50-EB,0.8554525657011228,0.3923006535917952
"Fairfax County, NOVA","Annandale, DC",4,06:30,US-50-EB,1.0159804440637878,0.3096386991599793
"Fairfax County, NOVA","Annandale, DC",5,06:30,US-50-EB,1.0159804440637878,0.3096386991599793
"Fairfax County, NOVA","Annandale, DC",1,07:00,US-50-EB,0.03169740304968944,0.9747133659137508
"Fairfax County, NOVA","Annandale, DC",2,07:00,I-66-EB,1.0159804440637878,0.3096386991599793
"Fairfax County, NOVA","Annandale, DC",2,07:00,US-29-NB,1.3064136922353817,0.1914119120359552
"Fairfax County, NOVA","Annandale, DC",2,07:00,US-50-EB,0.5499834056957615,0.5823307554579664
"Fairfax County, NOVA","Annandale, DC",3,07:00,US-50-EB,1.0318488762376428,0.30214291854688313
"Fairfax County, NOVA","Annandale, DC",3,07:00,I-66-EB,0.984283656575345,0.32497606300919535
"Fairfax County, NOVA","Annandale, DC",4,07:00,I-66-EB-TZ1-2_US-29-NB-TZ3-4,1.0159804440637878,0.3096386991599793
"Fairfax County, NOVA","Annandale, DC",4,07:00,US-50-EB,0.03169740304968944,0.9747133659137508
"Fairfax County, NOVA","Annandale, DC",4,07:00,I-66-EB,1.3919963071148296,0.16392351623010137
"Fairfax County, NOVA","Annandale, DC",5,07:00,I-66-EB,1.0159804440637878,0.3096386991599793
"Fairfax County, NOVA","Annandale, DC",5,07:00,US-50-EB,0.5499834056957615,0.5823307554579664
"Fairfax County, NOVA","Annandale, DC",1,07:30,I-66-EB-TZ1-2-3_US-29-NB-TZ4,1.0159804440637878,0.3096386991599793
"Fairfax County, NOVA","Annandale, DC",1,07:30,US-50-EB,0.9684540701382639,0.33281764680945347
"Fairfax County, NOVA","Annandale, DC",1,07:30,I-66-EB,1.0159804440637878,0.3096386991599793
"Fairfax County, NOVA","Annandale, DC",1,07:30,I-66-EB-TZ1-2_US-29-NB-TZ3-4,0.984283656575345,0.32497606300919535
"Fairfax County, NOVA","Annandale, DC",2,07:30,US-29-NB,1.0159804440637878,0.3096386991599793
