Point Attribute,Lat,Long,ID,Total Percent,AM Percent,PM Percent
Destination,38.74963963963964,-77.284,95,0.014,0.014,0.014
Origin,38.74963963963964,-77.284,96,0.003,0.003,0.003
Destination,37.98351891891892,-78.65719,96,0.003,0.003,0.003
Origin,37.98351891891892,-78.65719,97,0.000,0.000,0.000
Destination,38.74963963963964,-77.01758297077761,97,0.000,0.000,0.000
Origin,39.0646,-77.07157583122863,98,0.014,0.014,0.014
Destination,38.92981981981982,-76.75363207515413,98,0.014,0.014,0.014
Origin,37.98351891891892,-78.65719,99,3.222,4.240,2.365
Destination,39.11,-77.284,99,3.222,4.240,2.365
Origin,38.92981981981982,-77.01881603757707,100,0.008,0.009,0.009
Destination,37.98351891891892,-78.65719,100,0.008,0.009,0.009
Origin,37.98351891891892,-77.02644632431243,101,0.001,0.002,0.001
Destination,39.11,-76.75607548574631,101,0.001,0.002,0.001
Origin,36.90243783783784,-75.3001552409644,102,0.000,0.000,8.732
Destination,38.74963963963964,-76.75116594155521,102,0.000,0.000,8.732
Origin,39.0646,-77.07157583122863,103,0.008,0.008,0.008
Destination,39.11,-76.75607548574631,103,0.008,0.008,0.008
Origin,36.90243783783784,-78.65719,104,0.000,0.000,0.000
Destination,39.11,-77.02003774287316,104,0.000,0.000,0.000
Origin,39.11,-77.284,105,0.011,0.011,0.011
Destination,36.90243783783784,-78.65719,105,0.011,0.011,0.011
Origin,38.74963963963964,-77.01758297077761,106,0.003,0.003,0.003
Destination,36.90243783783784,-78.65719,106,0.003,0.003,0.003
Origin,36.90243783783784,-76.9786726204822,107,0.001,0.001,0.001
Destination,38.74963963963964,-77.284,107,0.001,0.001,0.001
Origin,37.98351891891892,-75.39570264862486,108,3.959,5.300,2.987
Destination,38.92981981981982,-77.01881603757707,108,3.959,5.300,2.987
Origin,39.11,-76.75607548574631,109,0.008,0.008,0.008
Destination,36.90243783783784,-76.9786726204822,109,0.008,0.008,0.008
Origin,37.98351891891892,-77.02644632431243,110,0.001,0.001,0.001
Destination,38.74963963963964,-76.75116594155521,110,0.001,0.001,0.001
Origin,36.90243783783784,-76.9786726204822,111,0.000,0.000,8.180
Destination,39.11,-77.02003774287316,111,0.000,0.000,8.180
Origin,38.74963963963964,-76.75116594155521,112,0.016,0.016,0.016
Destination,36.90243783783784,-76.9786726204822,112,0.016,0.016,0.016
Origin,38.92981981981982,-77.284,113,0.003,0.003,0.003
Destination,39.0646,-77.07157583122863,113,0.003,0.003,0.003
Origin,38.74963963963964,-76.75116594155521,114,0.002,0.002,0.002
Destination,37.98351891891892,-75.39570264862486,114,0.002,0.002,0.002
Origin,39.0646,-75.48596166245726,115,0.000,0.000,0.000
Destination,38.92981981981982,-77.284,115,0.000,0.000,0.000
Origin,39.0646,-75.48596166245726,116,9.629,0.000,7.540
Destination,39.11,-77.284,116,9.629,0.000,7.540
Origin,39.0646,-77.07157583122863,117,0.014,0.014,0.014
Destination,38.92981981981982,-77.01881603757707,117,0.014,0.014,0.014
Origin,36.90243783783784,-78.65719,118,5.401,6.245,4.837
Destination,38.92981981981982,-77.01881603757707,118,5.401,6.245,4.837
Origin,36.90243783783784,-76.9786726204822,119,0.000,0.000,0.000
Destination,39.11,-77.284,119,0.000,0.000,0.000
Origin,38.92981981981982,-77.01881603757707,120,0.008,0.008,0.009
Destination,39.0646,-77.07157583122863,120,0.008,0.008,0.009
Origin,37.98351891891892,-75.39570264862486,121,8.753,1.198,7.113
Destination,38.74963963963964,-76.75116594155521,121,8.753,1.198,7.113
Origin,39.0646,-78.65719,122,0.000,0.000,0.000
Destination,38.74963963963964,-76.75116594155521,122,0.000,0.000,0.000
Origin,38.74963963963964,-77.284,123,0.023,0.023,0.023
Destination,36.90243783783784,-75.3001552409644,123,0.023,0.023,0.023
Origin,38.92981981981982,-77.284,124,0.011,0.011,0.011
Destination,37.98351891891892,-78.65719,124,0.011,0.011,0.011
Origin,37.98351891891892,-78.65719,125,0.000,0.000,0.000
Destination,38.92981981981982,-77.284,125,0.000,0.000,0.000
Origin,39.11,-77.02003774287316,126,0.011,0.011,0.011
Destination,37.98351891891892,-78.65719,126,0.011,0.011,0.011
Origin,36.90243783783784,-76.9786726204822,127,0.000,0.000,0.000
Destination,38.74963963963964,-77.01758297077761,127,0.000,0.000,0.000
Origin,38.92981981981982,-77.284,128,0.005,0.006,0.006
Destination,39.0646,-78.65719,128,0.005,0.006,0.006
Origin,37.98351891891892,-77.02644632431243,129,0.001,0.002,0.001
Destination,38.92981981981982,-76.75363207515413,129,0.001,0.002,0.001
Origin,38.92981981981982,-76.75363207515413,130,0.013,0.013,0.013
Destination,39.0646,-75.48596166245726,130,0.013,0.013,0.013
