Index,NodeType,Latitude,Longitude,InterestCount%,AM%,PM%
24,Destination,38.74963963963964,-76.75116594155521,0.000542,0.000194,0.000250
25,Origin,37.98351891891892,-77.02644632431243,0.000310,0.000000,0.000250
25,Destination,38.92981981981982,-77.01881603757707,0.000310,0.000000,0.000250
26,Origin,36.90243783783784,-75.3001552409644,0.000000,0.000000,0.000000
26,Destination,39.11,-77.284,0.000000,0.000000,0.000000
27,Origin,37.98351891891892,-78.65719,0.000000,0.000000,0.000000
27,Destination,39.11,-77.02003774287316,0.000000,0.000000,0.000000
28,Origin,39.11,-77.284,0.028983,0.030898,0.040990
28,Destination,37.98351891891892,-77.02644632431243,0.028983,0.030898,0.040990
29,Origin,37.98351891891892,-75.39570264862486,0.000077,0.000000,0.000250
29,Destination,38.74963963963964,-77.01758297077761,0.000077,0.000000,0.000250
30,Origin,38.74963963963964,-77.284,0.010307,0.010494,0.007748
30,Destination,37.98351891891892,-77.02644632431243,0.010307,0.010494,0.007748
31,Origin,37.98351891891892,-75.39570264862486,0.000000,0.000000,0.000000
31,Destination,39.11,-77.02003774287316,0.000000,0.000000,0.000000
32,Origin,38.74963963963964,-77.01758297077761,0.023869,0.028177,0.032742
32,Destination,39.0646,-75.48596166245726,0.023869,0.028177,0.032742
33,Origin,36.90243783783784,-76.9786726204822,0.000000,0.000000,0.000000
33,Destination,38.92981981981982,-77.01881603757707,0.000000,0.000000,0.000000
34,Origin,39.11,-76.75607548574631,0.004417,0.002332,0.001750
34,Destination,39.0646,-78.65719,0.004417,0.002332,0.001750
35,Origin,36.90243783783784,-76.9786726204822,0.000000,0.000000,0.000000
35,Destination,38.92981981981982,-77.284,0.000000,0.000000,0.000000
36,Origin,36.90243783783784,-76.9786726204822,0.000077,0.000194,0.000000
36,Destination,39.11,-76.75607548574631,0.000077,0.000194,0.000000
37,Origin,39.11,-77.02003774287316,0.022861,0.026817,0.028743
37,Destination,36.90243783783784,-78.65719,0.022861,0.026817,0.028743
38,Origin,38.74963963963964,-77.284,0.003875,0.002526,0.003249
38,Destination,36.90243783783784,-78.65719,0.003875,0.002526,0.003249
39,Origin,37.98351891891892,-75.39570264862486,0.000000,0.000000,0.000000
39,Destination,39.11,-77.284,0.000000,0.000000,0.000000
40,Origin,38.74963963963964,-77.01758297077761,0.010307,0.010494,0.006748
40,Destination,39.0646,-78.65719,0.010307,0.010494,0.006748
41,Origin,36.90243783783784,-75.3001552409644,0.000000,0.000000,0.000000
41,Destination,38.74963963963964,-77.284,0.000000,0.000000,0.000000
42,Origin,38.92981981981982,-77.01881603757707,0.005502,0.002915,0.005749
42,Destination,36.90243783783784,-75.3001552409644,0.005502,0.002915,0.005749
43,Origin,38.92981981981982,-77.01881603757707,0.006045,0.003304,0.005999
43,Destination,39.0646,-78.65719,0.006045,0.003304,0.005999
