origin,destination,period,path,zscore,pvalue
"Prince William, NOVA","Capital Hill, DC",AM,I-66-EB-TZ1_US-29-NB-TZ2-3-4,0.589355311060599,0.5556229481718356
"Prince William, NOVA","Capital Hill, DC",AM,US-29-NB,1.6024339086593113,0.10905969154352002
"Prince William, NOVA","Capital Hill, DC",AM,I-66-EB,2.2245626279954167,0.026110613818624673
"Prince William, NOVA","Capital Hill, DC",AM,I-66-EB-TZ1-2_US-29-NB-TZ3-4,0.9864415587470267,0.32391648000296813
"Prince William, NOVA","Capital Hill, DC",AM,I-66-EB-TZ1-2-3_US-29-NB-TZ4,0.9727976283693802,0.33065389164707093
"Prince William, NOVA","Capital Hill, DC",AM,I-66-WB,0.9864415587470267,0.32391648000296813
"Prince William, NOVA","Capital Hill, DC",PM,I-66-EB,1.0274211426876283,0.30422220006337763
"Prince William, NOVA","Arlington, DC",AM,I-66-EB,1.2452033993389173,0.21305699339168327
"Prince William, NOVA","Arlington, DC",AM,US-50-EB,1.635669036104902,0.10190887324334641
"Prince William, NOVA","Arlington, DC",AM,US-29-NB,4.4403635989101575,8.98070125709971e-06
"Prince William, NOVA","Arlington, DC",AM,I-66-EB-TZ1-2-3_US-29-NB-TZ4,1.4358134670268785,0.15105542669901229
"Prince William, NOVA","Alexandria, DC",AM,I-66-EB,0.19697906969172552,0.8438439168551761
"Prince William, NOVA","Alexandria, DC",AM,US-29-NB,0.9673868786540302,0.33335066700702054
"Prince William, NOVA","Alexandria, DC",AM,I-66-EB-TZ1-2-3_US-29-NB-TZ4,0.02669310061180328,0.9787045160873611
"Prince William, NOVA","Alexandria, DC",AM,US-50-EB,5.1175921897681445,3.094608134190935e-07
"Prince William, NOVA","Alexandria, DC",AM,I-66-EB-TZ1_US-29-NB-TZ2-3-4,1.0190614600494081,0.3081737894261276
"Prince William, NOVA","Maryland, DC",AM,US-50-EB,0.8877989092778227,0.3746489297516056
"Prince William, NOVA","Maryland, DC",AM,I-66-EB,2.458754817558087,0.013941979660364145
"Prince William, NOVA","Maryland, DC",AM,US-29-NB,2.7845606694603537,0.005360029259308119
"Prince William, NOVA","Maryland, DC",AM,I-66-EB-TZ1-2-3_US-50-EB-TZ4,3.068884963342015,0.002148593083388217
"Prince William, NOVA","Maryland, DC",AM,I-66-EB-TZ1-2-3_US-29-NB-TZ4,1.0155188344658805,0.3098585731238028
