Index,NodeType,Direction,Latitude,Longitude,InterestCount%,AM%,PM%
92,Destination,False,38.546749508599504,-77.34199347943131,0.000014,0.000016,0.000013
93,Origin,False,38.92981981981982,-77.01881603757707,0.000179,0.000166,0.000188
93,Destination,False,38.89072985257985,-76.98259966973193,0.000179,0.000166,0.000188
94,Origin,False,38.92981981981982,-77.01881603757707,0.000019,0.000017,0.000019
94,Destination,False,38.8415898034398,-76.98177535469202,0.000019,0.000017,0.000019
95,Origin,True,38.595889557739554,-76.83172502613162,0.000002,0.000004,0.000001
95,Destination,True,39.11,-77.02003774287316,0.000002,0.000004,0.000001
96,Origin,False,38.74963963963964,-76.75116594155521,0.000000,0.000000,0.000000
96,Destination,False,38.6450296068796,-76.83274538229243,0.000000,0.000000,0.000000
97,Origin,True,38.7433097051597,-77.34347575622046,0.000123,0.000160,0.000096
97,Destination,True,38.92981981981982,-77.284,0.000123,0.000160,0.000096
98,Origin,False,38.92981981981982,-76.75363207515413,0.000006,0.000010,0.000003
98,Destination,False,38.7433097051597,-76.90744939055115,0.000006,0.000010,0.000003
99,Origin,False,38.92981981981982,-77.01881603757707,0.000122,0.000111,0.000130
99,Destination,False,38.9398699017199,-77.05572613714496,0.000122,0.000111,0.000130
100,Origin,True,38.497609459459454,-77.56102513629487,0.000029,0.000044,0.000019
100,Destination,True,39.11,-77.02003774287316,0.000029,0.000044,0.000019
101,Origin,True,38.497609459459454,-76.90281136294878,0.000005,0.000012,0.000001
101,Destination,True,38.92981981981982,-77.01881603757707,0.000005,0.000012,0.000001
102,Origin,False,38.74963963963964,-76.75116594155521,0.000000,0.000000,0.000000
102,Destination,False,38.546749508599504,-77.04982695886262,0.000000,0.000000,0.000000
103,Origin,False,39.11,-77.02003774287316,0.000001,0.000003,0.000000
103,Destination,False,38.7433097051597,-77.41614681716534,0.000001,0.000003,0.000000
104,Origin,False,39.11,-76.75607548574631,0.000005,0.000006,0.000004
104,Destination,False,39.03815,-77.05718236744512,0.000005,0.000006,0.000004
