ID, Type, CenterLat, CenterLong
118,NOVA,38.595889557739554,-76.90467366011966
119,NOVA,38.595889557739554,-76.83172502613162
120,NOVA,38.546749508599504,-77.63416
121,NOVA,38.546749508599504,-77.56111836985782
122,NOVA,38.546749508599504,-77.48807673971565
123,NOVA,38.546749508599504,-77.41503510957348
124,NOVA,38.546749508599504,-77.34199347943131
125,NOVA,38.546749508599504,-77.26895184928914
126,NOVA,38.546749508599504,-77.19591021914697
127,NOVA,38.546749508599504,-77.1228685890048
128,NOVA,38.546749508599504,-77.04982695886262
129,NOVA,38.546749508599504,-76.97678532872045
130,NOVA,38.546749508599504,-76.90374369857828
131,NOVA,38.546749508599504,-76.83070206843611
132,NOVA,38.497609459459454,-77.63416
133,NOVA,38.497609459459454,-77.56102513629487
134,NOVA,38.497609459459454,-77.48789027258975
