Index,NodeType,Latitude,Longitude,InterestCount%,AM%,PM%
24,Destination,38.74963963963964,-76.75116594155521,0.001628,0.001566,0.000000
25,Origin,37.98351891891892,-77.02644632431243,0.000090,0.000000,0.000362
25,Destination,38.92981981981982,-77.01881603757707,0.000090,0.000000,0.000362
26,Origin,36.90243783783784,-75.3001552409644,0.000000,0.000000,0.000000
26,Destination,39.11,-77.284,0.000000,0.000000,0.000000
27,Origin,37.98351891891892,-78.65719,0.000000,0.000000,0.000000
27,Destination,39.11,-77.02003774287316,0.000000,0.000000,0.000000
28,Origin,39.11,-77.284,0.028491,0.033079,0.032983
28,Destination,37.98351891891892,-77.02644632431243,0.028491,0.033079,0.032983
29,Origin,37.98351891891892,-75.39570264862486,0.000090,0.000000,0.000362
29,Destination,38.74963963963964,-77.01758297077761,0.000090,0.000000,0.000362
30,Origin,38.74963963963964,-77.284,0.011668,0.013114,0.013048
30,Destination,37.98351891891892,-77.02644632431243,0.011668,0.013114,0.013048
31,Origin,37.98351891891892,-75.39570264862486,0.000000,0.000000,0.000000
31,Destination,39.11,-77.02003774287316,0.000000,0.000000,0.000000
32,Origin,38.74963963963964,-77.01758297077761,0.021075,0.023292,0.025009
32,Destination,39.0646,-75.48596166245726,0.021075,0.023292,0.025009
33,Origin,36.90243783783784,-76.9786726204822,0.000090,0.000196,0.000000
33,Destination,38.92981981981982,-77.01881603757707,0.000090,0.000196,0.000000
34,Origin,39.11,-76.75607548574631,0.004522,0.002349,0.003987
34,Destination,39.0646,-78.65719,0.004522,0.002349,0.003987
35,Origin,36.90243783783784,-76.9786726204822,0.000000,0.000000,0.000000
35,Destination,38.92981981981982,-77.284,0.000000,0.000000,0.000000
36,Origin,36.90243783783784,-76.9786726204822,0.000000,0.000000,0.000000
36,Destination,39.11,-76.75607548574631,0.000000,0.000000,0.000000
37,Origin,39.11,-77.02003774287316,0.023336,0.024075,0.035520
37,Destination,36.90243783783784,-78.65719,0.023336,0.024075,0.035520
38,Origin,38.74963963963964,-77.284,0.003799,0.002545,0.001812
38,Destination,36.90243783783784,-78.65719,0.003799,0.002545,0.001812
39,Origin,37.98351891891892,-75.39570264862486,0.000000,0.000000,0.000000
39,Destination,39.11,-77.284,0.000000,0.000000,0.000000
40,Origin,38.74963963963964,-77.01758297077761,0.012391,0.012918,0.010874
40,Destination,39.0646,-78.65719,0.012391,0.012918,0.010874
41,Origin,36.90243783783784,-75.3001552409644,0.000000,0.000000,0.000000
41,Destination,38.74963963963964,-77.284,0.000000,0.000000,0.000000
42,Origin,38.92981981981982,-77.01881603757707,0.004703,0.002153,0.003987
42,Destination,36.90243783783784,-75.3001552409644,0.004703,0.002153,0.003987
43,Origin,38.92981981981982,-77.01881603757707,0.005879,0.004306,0.005074
43,Destination,39.0646,-78.65719,0.005879,0.004306,0.005074
