Index,NodeType,Direction,Latitude,Longitude,InterestCount%,AM%,PM%,total percent,Ranking
678,Origin,TRUE,38.64502961,-77.26988063,0.002683,0.002515,0.002803,0.466,93
678,Destination,TRUE,38.74963964,-77.01758297,0.002683,0.002515,0.002803,0.467,
2056,Origin,TRUE,38.69416966,-77.27034325,0.002657,0.002801,0.002554,0.468,94
2056,Destination,TRUE,38.74963964,-77.01758297,0.002657,0.002801,0.002554,0.470,
2187,Origin,TRUE,38.9398699,-77.34494307,0.002619,0.002042,0.003034,0.471,95
2187,Destination,TRUE,38.74963964,-77.01758297,0.002619,0.002042,0.003034,0.472,
1793,Origin,TRUE,38.9398699,-77.34494307,0.002595,0.002049,0.002987,0.474,96
1793,Destination,TRUE,38.92981982,-77.284,0.002595,0.002049,0.002987,0.475,
1515,Origin,TRUE,38.9398699,-77.34494307,0.002594,0.001953,0.003054,0.476,97
1515,Destination,TRUE,39.11,-77.284,0.002594,0.001953,0.003054,0.477,
1063,Origin,TRUE,38.69416966,-77.27034325,0.002576,0.002729,0.002467,0.479,98
1063,Destination,TRUE,38.92981982,-77.01881604,0.002576,0.002729,0.002467,0.480,
185,Origin,TRUE,38.79244975,-77.12610696,0.002563,0.002723,0.002449,0.481,99
185,Destination,TRUE,38.92981982,-77.01881604,0.002563,0.002723,0.002449,0.483,
1629,Origin,TRUE,38.79244975,-77.05352796,0.002558,0.002499,0.0026,0.484,100
1629,Destination,TRUE,38.92981982,-77.01881604,0.002558,0.002499,0.0026,0.485,
378,Origin,TRUE,38.98900995,-77.05645517,0.002518,0.002479,0.002546,0.486,101
378,Destination,TRUE,39.11,-77.02003774,0.002518,0.002479,0.002546,0.488,
2103,Origin,TRUE,38.64502961,-77.26988063,0.002511,0.002486,0.002529,0.489,102
2103,Destination,TRUE,39.11,-76.75607549,0.002511,0.002486,0.002529,0.490,
2084,Origin,TRUE,38.79244975,-77.05352796,0.002508,0.002445,0.002553,0.491,103
2084,Destination,TRUE,39.11,-77.02003774,0.002508,0.002445,0.002553,0.493,
409,Origin,TRUE,38.8415898,-77.27172409,0.002505,0.002519,0.002495,0.494,104
409,Destination,TRUE,38.92981982,-76.75363208,0.002505,0.002519,0.002495,0.495,
1493,Origin,TRUE,38.64502961,-77.3427365,0.002469,0.002216,0.002651,0.496,105
1493,Destination,TRUE,38.74963964,-76.75116594,0.002469,0.002216,0.002651,0.498,
356,Origin,TRUE,38.79244975,-77.19868597,0.00244,0.002505,0.002393,0.499,106
356,Destination,TRUE,38.92981982,-77.01881604,0.00244,0.002505,0.002393,0.500,
1058,Origin,TRUE,38.8415898,-77.27172409,0.002439,0.002383,0.002478,0.501,107
1058,Destination,TRUE,39.11,-77.02003774,0.002439,0.002383,0.002478,0.502,
1948,Origin,TRUE,38.69416966,-77.1975799,0.002436,0.002853,0.002136,0.504,108
1948,Destination,TRUE,38.92981982,-77.01881604,0.002436,0.002853,0.002136,0.505,
845,Origin,TRUE,38.59588956,-77.34236546,0.002432,0.002592,0.002317,0.506,109
845,Destination,TRUE,38.74963964,-77.01758297,0.002432,0.002592,0.002317,0.507,
2504,Origin,TRUE,38.8415898,-77.12674972,0.002408,0.002267,0.002509,0.509,110
2504,Destination,TRUE,38.74963964,-76.75116594,0.002408,0.002267,0.002509,0.510,
266,Origin,TRUE,38.69416966,-77.1975799,0.00239,0.002771,0.002117,0.511,111
